Team,Date,Tournament,Match,Possession Time,Scores,Tries,Conversions,Passes,Contestable_Restart_Win_Pct,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,TurnoversConceded,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct
FRANCE,2016-04-18,2016_Singapore,Match_12_USA_vs_France,165,19,3,0.6666666666666666,17,50.0,2,1,0,3,1.0,1.0,0.0
NEW ZEALAND,2016-04-18,2016_Singapore,Match_20_New_Zealand_vs_USA,164,19,3,0.6666666666666666,12,50.0,2,0,0,4,0.6,1.0,1.0
USA,2016-04-18,2016_Singapore,Match_20_New_Zealand_vs_USA,221,12,2,0.5,44,33.33333333333333,3,3,0,3,0.8,0.0,1.0
USA,2016-04-18,2016_Singapore,Match_28_USA_vs_Russia,304,24,4,0.5,82,66.66666666666666,3,2,0,0,0.8571428571428571,1.0,1.0
RUSSIA,2016-04-18,2016_Singapore,Match_28_USA_vs_Russia,86,5,1,0.0,15,0.0,2,1,0,1,0.8,0.5,0.0
PORTUGAL,2016-04-18,2016_Singapore,Match_36_Portugal_vs_USA,133,0,0,0.0,21,0.0,3,3,0,3,0.75,0.5,1.0
USA,2016-04-18,2016_Singapore,Match_36_Portugal_vs_USA,263,26,4,0.75,43,50.0,2,2,0,6,0.8181818181818182,1.0,1.0
SCOTLAND,2016-04-18,2016_Singapore,Match_42_Scotland_vs_USA,150,14,2,1.0,31,0.0,4,3,0,6,0.6666666666666666,0.0,1.0
USA,2016-04-18,2016_Singapore,Match_42_Scotland_vs_USA,297,10,2,0.0,57,50.0,2,2,0,7,1.0,1.0,1.0
USA,2016-04-18,2016_Singapore,Match_4_USA_vs_Canada,188,36,6,0.5,26,66.66666666666666,2,1,0,4,0.75,1.0,1.0
CANADA,2016-04-18,2016_Singapore,Match_4_USA_vs_Canada,175,14,2,1.0,27,33.33333333333333,1,1,0,4,0.6666666666666666,0.0,1.0
USA,2016-02-07,2016_Sydney,Match_14_USA_vs_Japan,235,33,5,0.8,33,33.33333333333333,4,4,0,2,0.5555555555555556,1.0,1.0
JAPAN,2016-02-07,2016_Sydney,Match_14_USA_vs_Japan,170,17,3,0.3333333333333333,28,0.0,0,0,0,5,0.8333333333333334,1.0,0.0
ENGLAND,2016-02-07,2016_Sydney,Match_22_England_vs_USA,149,17,3,0.3333333333333333,22,0.0,0,0,0,1,1.0,1.0,1.0
USA,2016-02-07,2016_Sydney,Match_22_England_vs_USA,263,14,2,1.0,50,0.0,2,2,0,3,0.7142857142857143,1.0,0.0
NEW ZEALAND,2016-02-07,2016_Sydney,Match_29_New_Zealand_vs_USA,175,24,4,0.5,22,0.0,6,5,1,2,0.8888888888888888,1.0,1.0
USA,2016-02-07,2016_Sydney,Match_29_New_Zealand_vs_USA,281,7,1,1.0,56,0.0,2,1,1,7,0.8666666666666667,1.0,0.0
USA,2016-02-07,2016_Sydney,Match_37_USA_vs_Kenya,199,21,3,1.0,35,50.0,4,1,0,6,0.8571428571428571,0.0,0.0
KENYA,2016-02-07,2016_Sydney,Match_37_USA_vs_Kenya,209,24,4,0.5,29,75.0,4,4,0,1,0.5714285714285714,1.0,1.0
USA,2016-02-07,2016_Sydney,Match_6_USA_vs_Wales,228,42,6,1.0,29,0.0,4,3,0,2,0.8333333333333334,1.0,0.0
WALES,2016-02-07,2016_Sydney,Match_6_USA_vs_Wales,207,0,0,0.0,32,0.0,4,3,0,6,0.6153846153846154,0.0,1.0
USA,2016-03-18,2016_Vancouver,Match_13_USA_vs_England,294,17,3,0.3333333333333333,54,75.0,3,2,0,4,0.9166666666666666,0.0,1.0
ENGLAND,2016-03-18,2016_Vancouver,Match_13_USA_vs_England,145,12,2,0.5,21,0.0,5,5,0,2,0.5714285714285714,1.0,0.75
USA,2016-03-18,2016_Vancouver,Match_22_USA_vs_New_Zealand,414,5,1,0.0,71,0.0,1,1,0,3,0.7391304347826086,1.0,1.0
NEW ZEALAND,2016-03-18,2016_Vancouver,Match_22_USA_vs_New_Zealand,120,17,3,0.3333333333333333,18,0.0,5,4,0,4,0.0,1.0,1.0
FIJI,2016-03-18,2016_Vancouver,Match_29_Fiji_vs_USA,180,31,5,0.6,39,0.0,4,2,1,4,0.5,1.0,0.0
USA,2016-03-18,2016_Vancouver,Match_29_Fiji_vs_USA,296,26,4,0.75,54,40.0,5,3,0,6,0.7142857142857143,0.0,1.0
USA,2016-03-18,2016_Vancouver,Match_37_USA_vs_Wales,237,38,6,0.6666666666666666,33,50.0,3,1,0,3,0.8333333333333334,1.0,1.0
WALES,2016-03-18,2016_Vancouver,Match_37_USA_vs_Wales,166,12,2,0.5,19,0.0,1,1,0,1,0.625,1.0,1.0
USA,2016-03-18,2016_Vancouver,Match_43_USA_vs_Samoa,220,19,3,0.6666666666666666,41,0.0,0,0,0,4,0.7777777777777778,0.0,1.0
SAMOA,2016-03-18,2016_Vancouver,Match_43_USA_vs_Samoa,191,31,5,0.6,35,50.0,2,1,0,2,0.3333333333333333,1.0,1.0
USA,2016-03-18,2016_Vancouver,Match_5_USA_vs_France,269,42,6,1.0,46,60.0,4,2,0,4,0.8666666666666667,0.0,1.0
FRANCE,2016-03-18,2016_Vancouver,Match_5_USA_vs_France,146,14,2,1.0,25,33.33333333333333,1,1,0,6,0.7142857142857143,1.0,1.0
USA,2016-01-31,2016_Wellington,Match_10_USA_vs_England,218,5,1,0.0,46,0.0,2,2,0,6,1.0,1.0,0.0
ENGLAND,2016-01-31,2016_Wellington,Match_10_USA_vs_England,279,19,3,0.6666666666666666,52,66.66666666666666,4,4,0,3,0.75,1.0,1.0
FRANCE,2016-01-31,2016_Wellington,Match_18_France_vs_USA,202,21,3,1.0,29,100.0,3,3,1,3,0.8333333333333334,1.0,1.0
USA,2016-01-31,2016_Wellington,Match_18_France_vs_USA,215,29,5,0.4,37,0.0,2,2,0,2,1.0,1.0,0.0
USA,2016-01-31,2016_Wellington,Match_2_USA_vs_Samoa,240,24,4,0.5,42,0.0,5,2,0,5,0.8461538461538461,1.0,1.0
SAMOA,2016-01-31,2016_Wellington,Match_2_USA_vs_Samoa,151,20,3,0.8333333333333334,27,20.0,3,2,0,6,0.8,0.0,1.0
FIJI,2016-01-31,2016_Wellington,Match_32_Fiji_vs_USA,215,21,3,1.0,37,50.0,5,4,0,5,0.8,0.0,1.0
USA,2016-01-31,2016_Wellington,Match_32_Fiji_vs_USA,291,12,2,0.5,51,0.0,0,0,0,5,0.8666666666666667,1.0,1.0
AUSTRALIA,2016-01-31,2016_Wellington,Match_38_Australia_vs_USA,175,17,3,0.3333333333333333,27,0.0,6,6,0,0,0.9166666666666666,0.75,0.0
USA,2016-01-31,2016_Wellington,Match_38_Australia_vs_USA,227,5,1,0.0,43,0.0,7,6,0,1,0.7,1.0,0.0
USA,2017-04-10,2017_Hong_Kong,Match_12_USA_vs_Scotland,137,19,3,0.6666666666666666,21,33.33333333333333,3,3,0,8,1.0,1.0,1.0
SCOTLAND,2017-04-10,2017_Hong_Kong,Match_12_USA_vs_Scotland,274,14,2,1.0,50,33.33333333333333,4,2,0,4,0.8571428571428571,0.0,1.0
USA,2017-04-10,2017_Hong_Kong,Match_20_USA_vs_Argentina,172,33,5,0.8,29,25.0,4,3,0,4,1.0,1.0,1.0
